x,y,mass,size,ecc,signal,raw_mass,ep,frame,particle
57.475111220248166,57.051641953993894,1076.8678775948902,3.0422920304727836,0.17480473851922762,495.3460060645822,1281.1844146525236,0.023878532935868325,0,0
114.5711250129777,57.60011546868174,959.1603410364872,2.9915132379841785,0.15334312902898295,470.4127966845021,1196.6588968410003,0.08757384859632078,0,1
170.20431487400208,56.54016381664045,1057.0104739468368,3.2414850056622404,0.009644818530168376,493.58140568417565,1239.8575381233381,0.06887522127599198,0,2
227.36425123067391,57.74686477014604,1029.4320075868702,2.9824187025261573,0.2436890839410858,471.2948986136106,1286.8235217618662,0.08924843372096598,0,3
283.311157230441,55.613202565550964,1082.0177046949157,2.897272747857018,0.19284112930007447,571.7803016905473,1136.5567953202033,0.02496703789338265,0,4
341.83049407738713,55.96943660288728,1008.1257039836823,3.2573180262574466,0.06791926212340023,499.378809076813,1164.8449073729048,0.0012140900922043563,0,5
398.91270757628996,57.03131462495945,952.4731896407129,2.964011982423339,0.24223421292304642,469.75073341177216,1157.9949582212466,0.01679379805988637,0,6
455.2696508021878,56.46163624255235,928.5592282886861,2.915487803440251,0.040998996233649075,488.01353175234715,1183.7174104240964,0.00027072736757871585,0,7
56.57954234916865,114.40336817174511,967.2128268783842,3.1382125131733756,0.10022815789798599,486.06858823413654,1229.1118938886625,0.018152310810969376,0,8
113.11585183671112,114.23455301533518,1018.2743672519252,3.313155906240651,0.17258848578855066,446.7975638357096,1227.2397378868175,0.01749778374874882,0,9
170.28492877266834,113.4147239312127,988.9201915000949,3.1991269612235667,0.23482840441683067,455.4338252143318,1208.4701411299584,0.04970258462174823,0,10
228.04252803634114,112.58193813218872,988.0114493553205,3.2573684525291005,0.2172036756553045,461.61509612258305,1138.0780652903054,0.08820777094381044,0,11
284.4569385631721,113.30837543757505,981.7141607176895,3.2798272763392173,0.20952856637365197,514.858188382058,1208.737818860633,0.06527872244913151,0,12
341.77986450936334,114.25852443668369,956.9008822343312,3.1714420707113224,0.09472934335382735,525.0613098170669,1271.16855012713,0.0445265465999388,0,13
398.12373673771276,114.44316288675056,991.1893470519012,3.0800619816619346,0.29730007442294654,509.0677465545638,1193.1987601296116,0.08874228981367364,0,14
455.0313929002047,113.35447946573362,1035.3266256448915,2.9850462156870545,0.1064175963589651,495.75791987523866,1204.0533290448495,0.025974225208663694,0,15
55.4417764164658,168.97933223270863,1008.0959683642534,3.2078738089837104,0.030996857312547508,505.2710136849455,1277.3957819170944,0.021663343820587246,0,16
112.78053095017628,169.34396705431226,1008.9823340390027,2.882924299605391,0.1617504877070993,472.85577490356735,1189.8269570579735,0.0835862971269293,0,17
169.7611876113066,171.06644089339008,936.7784819411393,2.7660779995042346,0.296534224149579,551.822548598843,1172.2596176687227,0.06267660643271607,0,18
228.85478385334162,170.28850411262727,979.860852944688,2.811115424319382,0.23111861495439812,573.7473081720968,1283.5242552584552,0.006130406577344228,0,19
285.18196001291153,170.31040269560523,1032.3787051530842,2.8336954454667245,0.07342951306683301,530.5853275299389,1269.6055707986131,0.018380812387850054,0,20
